Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",-7.350000,-16.220000,270.000000,top
"C2","0.1uF","C_0402_1005Metric",-5.500000,-16.200000,270.000000,top
"C3","10uF","C_0402_1005Metric",-0.175000,-13.600000,0.000000,top
"C4","1uF","C_0402_1005Metric",16.600000,-0.200000,270.000000,top
"C5","0.1uF","C_0402_1005Metric",17.650000,-0.200000,270.000000,top
"C6","0.1uF","C_0402_1005Metric",20.350000,9.650000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",7.850000,11.300000,180.000000,top
"C10","10uF","C_0402_1005Metric",-0.400000,-7.150000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",12.780000,-2.400000,0.000000,top
"C12","1uF","C_0402_1005Metric",-9.906000,-6.604000,180.000000,top
"C13","0.1uF","C_0402_1005Metric",15.200000,13.250000,90.000000,top
"C14","0.1uF","C_0402_1005Metric",15.550000,-0.200000,270.000000,top
"C15","10uF","C_0402_1005Metric",20.350000,1.700000,0.000000,top
"C16","0.1uF","C_0402_1005Metric",20.350000,2.750000,0.000000,top
"D1","GRN","D_0603_1608Metric",2.500000,20.662500,270.000000,top
"D2","RS-3535MWAR","LED_RGB_PLCC-6",0.300000,-3.000000,270.000000,top
"FB2","Ferrite_Bead","L_0805_2012Metric",-0.900000,-10.200000,270.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",-9.906000,-21.336000,0.000000,top
"Q1","2N7002","SOT-23",0.500000,10.250000,0.000000,top
"Q2","2N7002","SOT-23",0.500000,6.600000,0.000000,top
"Q3","2N7002","SOT-23",0.500000,13.850000,0.000000,top
"Q4","2N7002","SOT-23",-5.334000,-11.176000,270.000000,top
"Q5","2N7002","SOT-23",-5.334000,-7.366000,90.000000,top
"R1","470","R_0402_1005Metric",2.550000,17.710000,90.000000,top
"R2","10K","R_0402_1005Metric",-9.906000,-5.334000,180.000000,top
"R3","47","R_0603_1608Metric",2.500000,2.325000,90.000000,top
"R4","47","R_0603_1608Metric",0.850000,2.325000,90.000000,top
"R5","82","R_1206_3216Metric",-1.200000,2.387500,90.000000,top
"R6","49.9","R_0402_1005Metric",-3.710000,6.100000,0.000000,top
"R7","49.9","R_0402_1005Metric",-3.700000,8.500000,0.000000,top
"R8","10K","R_0402_1005Metric",-17.500000,-9.350000,90.000000,top
"R9","49.9","R_0402_1005Metric",-3.710000,12.300000,0.000000,top
"R10","2.2k","R_0402_1005Metric",4.000000,1.850000,90.000000,top
"R11","270","R_0603_1608Metric",24.050000,-7.300000,270.000000,top
"R12","2.2k","R_0402_1005Metric",20.350000,7.750000,180.000000,top
"R13","49.9","R_0402_1005Metric",16.810000,-2.400000,180.000000,top
"R14","49.9","R_0402_1005Metric",14.790000,-2.400000,0.000000,top
"R15","49.9","R_0402_1005Metric",10.760000,-2.400000,180.000000,top
"R16","49.9","R_0402_1005Metric",8.740000,-2.400000,0.000000,top
"R17","270","R_0603_1608Metric",24.000000,-3.000000,90.000000,top
"R18","49.9","R_0402_1005Metric",9.000000,14.350000,180.000000,top
"R19","49.9","R_0402_1005Metric",9.000000,13.250000,180.000000,top
"R20","49.9","R_0402_1005Metric",9.000000,15.450000,180.000000,top
"R21","2.2k","R_0402_1005Metric",20.350000,6.700000,180.000000,top
"R22","49.9","R_0402_1005Metric",-3.700000,2.200000,180.000000,top
"R23","2.2k","R_0402_1005Metric",20.350000,4.900000,180.000000,top
"R24","2.2k","R_0402_1005Metric",11.050000,19.750000,270.000000,top
"R25","2.2k","R_0402_1005Metric",12.100000,19.750000,270.000000,top
"R26","2.2k","R_0402_1005Metric",8.750000,19.750000,270.000000,top
"R27","2.2k","R_0402_1005Metric",9.000000,16.550000,180.000000,top
"R28","2.2k","R_0402_1005Metric",9.850000,19.750000,90.000000,top
"R29","4.87","R_0402_1005Metric",20.350000,3.850000,0.000000,top
"U1","AZ1117EH-3.3TRG1","SOT-223",-1.000000,-19.150000,270.000000,top
"U2","ESP32-WROOM-32E","ESP32-WROOM-32",-14.700000,6.645000,0.000000,top
"U4","CP2102-GMR_NRND","VFQFN-28-1EP_5x5mm",-12.200000,-12.200000,270.000000,top
"U5","DP83848C","LQFP-48_7x7mm_P0.5mm",12.450000,6.700000,0.000000,top
